file,mi_score,mi_rank
backend/app/email_utils.py,67.78336957464666,A
backend/app/backend_pre_start.py,75.77120449731255,A
backend/app/initial_data.py,68.14868072197874,A
backend/app/constants.py,100.0,A
backend/app/__init__.py,100.0,A
backend/app/tests_pre_start.py,75.77120449731255,A
backend/app/main.py,100.0,A
backend/app/email_templates.py,55.58355216856873,A
backend/app/crud.py,54.919804519244195,A
backend/app/core/db.py,91.58787557309567,A
backend/app/core/config.py,61.00138706086479,A
backend/app/core/security.py,82.60699344984263,A
backend/app/core/__init__.py,100.0,A
backend/app/tests/conftest.py,100.0,A
backend/app/tests/__init__.py,100.0,A
backend/app/tests/utils/user.py,100.0,A
backend/app/tests/utils/__init__.py,100.0,A
backend/app/tests/utils/test_helpers.py,100.0,A
backend/app/tests/utils/item.py,70.69012901603358,A
backend/app/tests/scripts/__init__.py,100.0,A
backend/app/tests/scripts/test_backend_pre_start.py,100.0,A
backend/app/tests/scripts/test_test_pre_start.py,100.0,A
backend/app/tests/crud/test_user.py,42.45633926477029,A
backend/app/tests/crud/__init__.py,100.0,A
backend/app/tests/api/__init__.py,100.0,A
backend/app/tests/api/routes/test_login.py,41.95829830942687,A
backend/app/tests/api/routes/__init__.py,100.0,A
backend/app/tests/api/routes/test_items.py,37.983446786590314,A
backend/app/tests/api/routes/test_users.py,22.869872112014114,A
backend/app/tests/api/routes/test_private.py,86.83857689649942,A
backend/app/models/wallet_models.py,100.0,A
backend/app/models/__init__.py,100.0,A
backend/app/models/user_models.py,62.104053794784896,A
backend/app/models/db_models.py,66.80428818114696,A
backend/app/models/api_models.py,67.63860070246224,A
backend/app/models/item_models.py,76.35592716959249,A
backend/app/api/deps.py,55.78632359744243,A
backend/app/api/__init__.py,100.0,A
backend/app/api/main.py,71.44842835188814,A
backend/app/api/routes/misc.py,100.0,A
backend/app/api/routes/users_profile.py,52.26563544424479,A
backend/app/api/routes/users.py,100.0,A
backend/app/api/routes/users_auth.py,100.0,A
backend/app/api/routes/wallets.py,62.51557896921068,A
backend/app/api/routes/__init__.py,100.0,A
backend/app/api/routes/users_admin.py,49.526369466641995,A
backend/app/api/routes/login.py,48.158018733625624,A
backend/app/api/routes/items.py,49.46115589707172,A
backend/app/api/routes/private.py,100.0,A
backend/app/alembic/env.py,90.55664210808371,A
backend/app/alembic/__init__.py,100.0,A
backend/app/alembic/versions/7b2a1c4e3f10_add_wallet_and_transaction_models.py,85.8912260695555,A
backend/app/alembic/versions/d98dd8ec85a3_edit_replace_id_integers_in_all_models_.py,79.21151980050416,A
backend/app/alembic/versions/__init__.py,100.0,A
backend/app/alembic/versions/e2412789c190_initialize_models.py,87.5832160095538,A
backend/app/alembic/versions/1a31ce608336_add_cascade_delete_relationships.py,92.52872548051351,A
backend/app/alembic/versions/9c0a54914c78_add_max_length_for_string_varchar_.py,87.70964450830232,A
